IsConsenting,Group,AnonName,GameExp_InYrs,Commonly_Played_Game_Genres,What_Do_You_Know_About_As_Dusk_Falls,GEQ_C_Q2,GEQ_C_Q10,GEQ_C_Q15,GEQ_C_Q17,GEQ_C_Q21,GEQ_C_Q3,GEQ_C_Q12,GEQ_C_Q18,GEQ_C_Q19,GEQ_C_Q27,GEQ_C_Q30,GEQ_C_Q5,GEQ_C_Q13,GEQ_C_Q25,GEQ_C_Q28,GEQ_C_Q31,GEQ_C_Q22,GEQ_C_Q24,GEQ_C_Q29,GEQ_C_Q11,GEQ_C_Q23,GEQ_C_Q26,GEQ_C_Q32,GEQ_C_Q33,GEQ_C_Q7,GEQ_C_Q8,GEQ_C_Q9,GEQ_C_Q16,GEQ_C_Q1,GEQ_C_Q4,GEQ_C_Q6,GEQ_C_Q14,GEQ_C_Q20,GEQ_S_Q1,GEQ_S_Q4,GEQ_S_Q8,GEQ_S_Q9,GEQ_S_Q10,GEQ_S_Q13,GEQ_S_Q7,GEQ_S_Q11,GEQ_S_Q12,GEQ_S_Q16,GEQ_S_Q17,GEQ_S_Q2,GEQ_S_Q3,GEQ_S_Q5,GEQ_S_Q6,GEQ_S_Q14,GEQ_S_Q15,GEQ_P_Q1,GEQ_P_Q5,GEQ_P_Q7,GEQ_P_Q8,GEQ_P_Q12,GEQ_P_Q16,GEQ_P_Q2,GEQ_P_Q4,GEQ_P_Q6,GEQ_P_Q11,GEQ_P_Q14,GEQ_P_Q15,GEQ_P_Q10,GEQ_P_Q13,GEQ_P_Q3,GEQ_P_Q9,GEQ_P_Q17,AS_Q1,AS_Q2,AS_Q3,AS_Q4,AS_Q5,AS_Q6,AS_Q7,AS_Q8,Choice_InCar_WifeVsDad,Choice_Mot_WaitOrRing,Choice_Mot_Bedroom_WifeVsDad,Choice_Hos_DogVsDale,Choice_Hos_JoyceVsDog,Choice_Hos_Pnk_TravelWith,Choice_Hos_AimGun,Choice_Hos_DogCalmQT,Choice_Hos_DogKicked,AC_NB_HM_Q1,AC_NB_HM_Q2,AC_NB_HM_Q3,AC_NB_HM_Q4,AC_NB_HM_Q5,AC_NB_HM_Q6,AC_NB_HM_Q7,AC_NBD_HM_Q1,AC_NBD_HM_Q2,AC_NBD_HM_Q3,AC_NBD_HM_Q4,AC_NBD_HM_Q5,AC_NBD_HM_Q6,AC_NBD_HM_Q7,AC_B_HM_Q1,AC_B_HM_Q2,AC_B_HM_Q3,AC_B_HM_Q4,AC_B_HM_Q5,AC_B_HM_Q6,AC_B_HM_Q7,AC_NB_LM_Q1,AC_NB_LM_Q2,AC_NB_LM_Q3,AC_NB_LM_Q4,AC_NB_LM_Q5,AC_NB_LM_Q6,AC_NB_LM_Q7,AC_NBD_LM_Q1,AC_NBD_LM_Q2,AC_NBD_LM_Q3,AC_NBD_LM_Q4,AC_NBD_LM_Q5,AC_NBD_LM_Q6,AC_NBD_LM_Q7,AC_B_LM_Q1,AC_B_LM_Q2,AC_B_LM_Q3,AC_B_LM_Q4,AC_B_LM_Q5,AC_B_LM_Q6,AC_B_LM_Q7,Order_NB_HM,Order_NBD_HM,Order_B_HM,Order_NB_LM,Order_NBD_LM,Order_B_LM,GEQ_Competence,GEQ_Immersion,GEQ_Flow,GEQ_Annoy,GEQ_Challenge,GEQ_NegativeAffect,GEQ_PositiveAffect,GEQ_Empathy,GEQ_NegativeFeeling,GEQ_BehaviouralInvolvement,GEQ_PositiveExperience,GEQ_NegativeExperience,GEQ_Tiredness,GEQ_ReturnToReality
I accept,1,A1,15,"Experiences like Legend of Zelda, Baldur's Gate, Assassins' Creed, Witcher and Pokemon",Nothing at all.,3,2,2,2,2,3,4,3,4,3,3,3,1,3,3,2,0,0,0,0,0,2,2,1,1,2,1,0,3,3,3,2,3,3,3,3,3,3,3,0,1,4,1,0,1,3,3,3,3,3,2,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,4,4,5,5,3,5,5,4,2,1,2,1,2,2,1,2,2,5,5,5,5,5,5,4,4,4,4,4,3,4,2,5,5,5,5,5,5,4,4,4,5,4,5,5,2,5,5,5,5,5,5,4,5,5,5,5,5,5,3, , , , , , ,2.2,3.33333333333333,2.4,0,1,1,2.8,3,1.2,2.66666666666667,.666666666666667,.666666666666667,0,1.33333333333333
I accept,1,A2,15,"Sports, Horror",I am unfamiliar with this game as of now.,2,3,3,0,4,3,2,3,2,1,2,3,4,3,4,3,3,1,3,2,1,3,3,2,3,4,0,1,3,2,1,3,3,3,4,3,1,1,1,0,3,3,3,0,3,1,1,2,3,1,0,0,2,2,1,0,2,1,0,4,1,0,0,0,0,0,2,4,4,5,4,2,3,5,4,3,2,2,1,2,2,2,2,2,4,4,4,4,4,5,2,3,2,2,2,2,4,3,2,2,1,1,1,4,3,1,1,1,1,1,1,1,5,4,4,5,4,5,5,4,2,4,4,4,4,3, , , , , , ,2.4,2.16666666666667,3.4,2.33333333333333,2.2,2,2.4,2.16666666666667,1.8,1.83333333333333,.833333333333333,1.33333333333333,0,1.66666666666667
I accept,1,A3,12,"puzzle, stealth, platformer",Nothing,3,3,2,1,1,4,4,3,3,4,4,3,2,4,3,2,0,1,1,3,3,4,2,2,2,1,0,0,1,4,2,2,4,3,3,4,2,3,1,0,4,3,1,0,3,4,2,4,4,3,1,0,3,1,1,0,2,1,0,3,2,1,0,0,2,0,3,4,5,4,5,4,5,5,5,3,1,1,1,2,1,1,2,2,2,1,3,1,2,4,1,2,1,3,2,3,4,2,2,1,2,2,2,3,2,2,2,1,2,3,2,1,5,4,5,5,5,5,5,4,4,4,4,5,4,4, , , , , , ,2,3.66666666666667,2.8,.666666666666667,2.8,.75,2.6,2.66666666666667,1.6,3.33333333333333,1,1.5,0,2.33333333333333
I accept,1,A4,12,"Fantasy, Puzzle, Open world, Roleplay, Management, Cozy","Nothing, haven't heard of the title either",1,1,2,2,1,4,3,2,3,2,3,4,3,1,3,3,1,1,2,1,3,3,2,2,1,0,0,0,1,2,1,1,3,1,2,2,3,4,1,0,3,4,1,0,4,3,3,3,4,4,1,1,1,1,1,0,3,0,0,0,0,0,0,0,1,1,3,5,4,4,5,4,4,4,3,2,1,2,1,2,1,1,2,2,4,3,4,4,4,2,2,4,4,5,4,4,4,3,4,4,2,4,3,5,4,4,2,4,1,3,1,2,4,4,2,3,3,3,2,4,4,4,4,4,4,4, , , , , , ,1.4,2.83333333333333,2.8,1.33333333333333,2.2,.25,1.6,2.16666666666667,1.6,3.5,.833333333333333,.5,0,2.66666666666667
I accept,1,A5,15,"gacha games ( genshin/ fgo/ pgr/etc), old school rpg (inotia, torram online, advena), sandboxes(minecraft, growtopia), simulation games ( oxygen not included, my talking tom, happy pets, my shop facebook games), cooking games, rougelike nowdays ( ftl, deadcells, curse of the dead gods), Mobas ( mobile legends, league), persona games, visual novels ( ashen hawk, life after magic)",nope,3,4,3,3,4,4,3,4,4,4,4,4,2,4,4,3,0,0,1,3,2,4,2,0,3,1,0,0,4,4,4,4,4,4,4,2,4,4,3,0,3,4,1,0,3,2,2,4,4,4,2,3,2,3,4,3,0,0,0,0,0,0,0,0,1,1,4,5,5,5,5,3,5,5,5,3,2,1,2,2,2,1,2,2,5,3,4,3,4,5,3,4,5,2,4,4,5,5,4,5,4,4,4,5,5,2,1,3,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4,2, , , , , , ,3.4,3.83333333333333,3.4,.333333333333333,2.2,1,4,3.5,1.6,3.16666666666667,2.83333333333333,0,0,3
I accept,1,A6,10,"RPGs, Shooters",I have not heard of the game,3,3,3,3,3,4,3,2,2,1,3,4,4,4,4,3,1,0,1,0,2,3,3,2,2,1,0,0,2,3,1,2,4,3,3,1,3,3,1,0,3,3,2,0,3,3,2,3,4,3,2,0,3,3,1,2,2,2,0,3,1,0,1,0,2,1,4,4,4,5,4,4,5,5,5,3,2,1,1,2,1,1,2,2,4,4,4,5,3,5,2,4,2,4,4,2,4,2,4,2,4,4,1,5,1,3,2,4,2,4,5,1,5,4,5,2,5,5,5,4,5,5,5,4,5,5, , , , , , ,3,2.5,3.8,.666666666666667,2,.75,2.4,2.33333333333333,1.6,3,1.83333333333333,1.33333333333333,.5,3
I accept,1,A7,15,"Platformers, horror",Nothing,0,1,3,2,4,4,4,1,2,4,4,4,3,3,4,3,1,0,1,0,2,1,3,0,0,1,1,0,3,3,2,3,4,4,4,1,4,4,1,0,2,2,1,0,4,4,3,3,4,3,2,1,0,2,1,2,0,0,0,2,1,0,1,1,0,3,4,5,5,5,5,5,5,5,3,2,2,2,2,1,1,1,3,1,4,4,4,4,4,5,5,4,2,2,3,2,5,3,3,3,2,3,2,4,2,2,2,3,1,2,2,1,5,5,5,5,5,4,4,5,4,5,5,4,5,4, , , , , , ,2,3.16666666666667,3.4,.666666666666667,1.2,.5,3,3,1,3.5,1.33333333333333,.5,1,3.66666666666667
I accept,1,A8,14,"adventure, metroidvania, fps",Nothing,4,4,4,4,4,4,3,4,2,3,4,4,2,2,3,1,0,0,0,0,1,0,2,0,0,0,0,0,3,4,3,3,4,3,3,4,4,4,3,0,3,2,1,0,4,3,3,4,3,3,3,2,2,4,3,4,0,0,0,0,0,0,0,0,0,0,3,5,5,5,5,4,3,4,4,3,1,2,1,1,2,2,3,2,3,4,4,4,4,1,4,2,2,4,1,2,4,1,4,3,4,2,3,5,2,2,2,5,1,4,2,1,5,5,5,5,3,3,4,5,5,5,5,2,2,5, , , , , , ,4,3.33333333333333,2.4,0,.6,0,3.4,3.5,1.2,3.33333333333333,3,0,0,2.33333333333333
I accept,1,A9,13,"Shooters, Minecraft, Ghost of Tushima and Hogwarts legacy",Nothing at all :(,3,3,3,3,0,4,4,3,2,4,4,4,4,4,4,4,0,0,0,2,0,3,2,0,0,0,0,0,4,4,4,4,4,4,4,4,3,4,3,1,0,4,0,0,4,4,2,4,4,4,4,0,2,4,2,2,4,3,0,0,1,0,0,0,0,0,4,5,5,5,5,4,5,5,3,3,1,2,1,1,3,1,3,1,3,3,2,3,3,4,2,5,5,4,1,5,1,2,4,3,4,5,3,5,1,2,2,3,4,1,1,2,5,5,5,5,5,4,3,5,5,5,5,5,5,2, , , , , , ,2.4,3.5,4,0,1.4,0,4,3.66666666666667,1,3.66666666666667,2.33333333333333,1.33333333333333,0,2.66666666666667
I accept,1,A10,10,"FPS, TPS, Clash of Clans, Minecraft",Nothing,4,4,4,3,3,1,2,1,2,2,2,2,1,2,2,1,1,1,0,0,2,1,0,0,0,1,1,1,1,2,2,3,2,0,0,1,1,0,0,0,3,1,4,4,2,2,3,2,3,3,2,1,2,1,0,2,0,0,1,0,1,0,0,0,0,0,1,3,4,4,5,3,3,4,4,3,1,2,1,2,1,2,2,2,2,2,2,4,3,1,1,2,1,3,2,3,3,3,4,4,3,5,3,5,2,4,4,4,2,4,3,1,4,5,4,5,4,3,3,4,3,3,4,4,4,2, , , , , , ,3.6,1.66666666666667,1.6,.666666666666667,.6,.75,2,.333333333333333,2.4,2.5,1.33333333333333,.333333333333333,0,.666666666666667
